sys_costs,r,t,Value
inv_converter_costs,p20,2032,20270707.497662
inv_converter_costs,p20,2035,75873645.462299
inv_converter_costs,p20,2038,3392348.475421
inv_converter_costs,p20,2041,114775374.769872
inv_converter_costs,p20,2047,122746324.253347
inv_converter_costs,p20,2050,75289483.832666
inv_converter_costs,p24,2032,19160675.942161
inv_converter_costs,p24,2035,51982184.98258
inv_converter_costs,p24,2041,13622696.180921
inv_converter_costs,p24,2044,50722340.481281
inv_converter_costs,p24,2047,68045595.888289
inv_converter_costs,p24,2050,82799868.382476
inv_converter_costs,p31,2032,27854178.552817
inv_converter_costs,p31,2035,120472514.122403
inv_converter_costs,p31,2041,338018890.090933
inv_converter_costs,p32,2035,90939223.582562
inv_converter_costs,p32,2047,3639578.768438
inv_converter_costs,p34,2035,406758479.964067
inv_converter_costs,p50,2035,237844516.034778
inv_converter_costs,p50,2041,17253067.097154
inv_converter_costs,p50,2044,13395951.860571
inv_converter_costs,p50,2047,6832258.909783
inv_converter_costs,p57,2032,71510613.489577
inv_converter_costs,p57,2035,675142297.63427
inv_converter_costs,p57,2041,195567280.218887
inv_converter_costs,p57,2047,150496242.118253
inv_converter_costs,p57,2050,72572273.462979
inv_h2_production,p20,2044,7.3e-05
inv_h2_production,p53,2038,-0.0
inv_h2_production,p54,2035,-0.0
inv_h2_production,p70,2044,-0.0
inv_h2_production,p75,2038,0.0
inv_h2_production,p127,2041,3546832885.604236
inv_h2_production,p127,2044,58609151.6609
inv_h2_storage,p1,2032,-0.0
inv_h2_storage,p1,2035,0.0
inv_h2_storage,p3,2038,-0.0
inv_h2_storage,p3,2041,0.0
inv_h2_storage,p4,2032,-0.0
inv_h2_storage,p4,2035,0.0
inv_h2_storage,p5,2035,-0.0
inv_h2_storage,p5,2038,0.0
inv_h2_storage,p7,2050,-0.0
inv_h2_storage,p9,2038,-0.0
inv_h2_storage,p9,2041,0.0
inv_h2_storage,p9,2044,-0.0
inv_h2_storage,p9,2047,0.0
inv_h2_storage,p10,2038,0.0
inv_h2_storage,p10,2041,-0.0
inv_h2_storage,p10,2044,-0.0
inv_h2_storage,p10,2047,0.0
inv_h2_storage,p11,2041,-0.0
inv_h2_storage,p11,2044,0.0
inv_h2_storage,p13,2047,0.0
inv_h2_storage,p13,2050,-0.0
inv_h2_storage,p14,2035,-0.0
inv_h2_storage,p14,2038,-0.0
inv_h2_storage,p14,2041,0.0
inv_h2_storage,p20,2041,-0.0
inv_h2_storage,p20,2044,3.1e-05
inv_h2_storage,p20,2047,-4.2e-05
inv_h2_storage,p20,2050,1.1e-05
inv_h2_storage,p21,2050,0.0
inv_h2_storage,p23,2032,-0.0
inv_h2_storage,p23,2035,0.0
inv_h2_storage,p25,2032,-0.0
inv_h2_storage,p25,2035,0.0
inv_h2_storage,p27,2044,-0.0
inv_h2_storage,p27,2047,0.0
inv_h2_storage,p27,2050,0.0
inv_h2_storage,p28,2038,-0.0
inv_h2_storage,p28,2041,0.0
inv_h2_storage,p28,2044,-0.0
inv_h2_storage,p28,2047,0.0
inv_h2_storage,p31,2038,0.0
inv_h2_storage,p31,2041,-0.0
inv_h2_storage,p31,2050,0.0
inv_h2_storage,p33,2044,-0.0
inv_h2_storage,p33,2047,0.0
inv_h2_storage,p34,2044,-0.0
inv_h2_storage,p34,2047,0.0
inv_h2_storage,p41,2029,-0.0
inv_h2_storage,p41,2032,0.0
inv_h2_storage,p42,2032,-0.0
