eall,i,r,t,Value
CO2,biopower,p1,2010,841.765219
CO2,biopower,p3,2010,3503.640307
CO2,biopower,p3,2015,942.97896
CO2,biopower,p3,2020,942.97896
CO2,biopower,p3,2023,942.97896
CO2,biopower,p3,2026,942.97896
CO2,biopower,p5,2010,192.412962
CO2,biopower,p5,2015,148.368996
CO2,biopower,p5,2020,148.368996
CO2,biopower,p5,2023,148.368996
CO2,biopower,p5,2026,148.368996
CO2,biopower,p5,2029,148.368996
CO2,biopower,p5,2032,119.981263
CO2,biopower,p5,2035,131.715548
CO2,biopower,p5,2038,85.224683
CO2,biopower,p5,2041,17.455176
CO2,biopower,p5,2044,17.455176
CO2,biopower,p5,2047,17.455176
CO2,biopower,p5,2050,17.455176
CO2,biopower,p6,2010,1053.249637
CO2,biopower,p6,2015,1052.906098
CO2,biopower,p6,2020,1053.0461
CO2,biopower,p6,2023,1053.249637
CO2,biopower,p6,2026,1053.109635
CO2,biopower,p6,2029,1054.910251
CO2,biopower,p6,2032,333.019109
CO2,biopower,p6,2035,333.019109
CO2,biopower,p6,2038,333.019109
CO2,biopower,p6,2041,333.019109
CO2,biopower,p6,2044,333.019109
CO2,biopower,p6,2047,333.019109
CO2,biopower,p6,2050,333.019109
CO2,biopower,p8,2010,5713.775739
CO2,biopower,p8,2015,7860.602917
CO2,biopower,p8,2020,7860.602917
CO2,biopower,p8,2023,5551.757597
CO2,biopower,p8,2026,5451.133231
CO2,biopower,p8,2029,590.603852
CO2,biopower,p8,2032,560.820456
CO2,biopower,p9,2010,16994.397982
CO2,biopower,p9,2015,111665.601165
CO2,biopower,p9,2020,94534.604436
CO2,biopower,p9,2023,36530.551876
CO2,biopower,p9,2026,43772.123774
CO2,biopower,p9,2029,22344.499202
CO2,biopower,p9,2032,9721.015266
CO2,biopower,p9,2035,6506.541868
CO2,biopower,p9,2038,6219.516005
CO2,biopower,p9,2041,4585.543589
CO2,biopower,p9,2044,1097.93057
CO2,biopower,p9,2047,1097.93057
CO2,biopower,p9,2050,1097.93057
CO2,biopower,p10,2010,15360.338987
CO2,biopower,p10,2015,40557.564107
CO2,biopower,p10,2020,46679.172353
CO2,biopower,p10,2023,28332.61122
CO2,biopower,p10,2026,33736.124085
CO2,biopower,p10,2029,19523.266339
CO2,biopower,p10,2032,11986.739624
CO2,biopower,p10,2035,10736.699083
CO2,biopower,p10,2038,5225.000635
CO2,biopower,p10,2041,3257.4508
CO2,biopower,p10,2044,860.540177
CO2,biopower,p10,2047,860.540177
CO2,biopower,p10,2050,860.540177
CO2,biopower,p12,2032,0.0
CO2,biopower,p14,2010,157.05769
CO2,biopower,p14,2015,157.05769
CO2,biopower,p14,2020,157.05769
CO2,biopower,p14,2023,157.05769
CO2,biopower,p14,2026,157.05769
CO2,biopower,p15,2010,164.078654
CO2,biopower,p15,2015,1036.203912
CO2,biopower,p15,2020,625.106787
CO2,biopower,p15,2023,2322.671933
CO2,biopower,p15,2026,1336.982957
CO2,biopower,p15,2029,347.358002
CO2,biopower,p15,2032,817.620048
CO2,biopower,p15,2035,1353.560272
CO2,biopower,p15,2038,958.796877
CO2,biopower,p15,2041,1087.924789
CO2,biopower,p15,2044,734.6246
CO2,biopower,p15,2047,771.112773
CO2,biopower,p15,2050,680.478071
CO2,biopower,p16,2015,216.66887
CO2,biopower,p16,2020,148.782948
CO2,biopower,p16,2023,556.678695
CO2,biopower,p16,2026,345.947347
CO2,biopower,p16,2029,87.27588
CO2,biopower,p16,2032,236.157628
CO2,biopower,p16,2035,310.024242
CO2,biopower,p16,2038,280.706125
CO2,biopower,p16,2041,291.431386
CO2,biopower,p16,2044,204.075808
CO2,biopower,p16,2047,203.210286
CO2,biopower,p16,2050,155.87088
CO2,biopower,p25,2015,52.365528
CO2,biopower,p25,2020,52.365528
CO2,biopower,p25,2023,478.585052
CO2,biopower,p25,2026,439.321401
CO2,biopower,p25,2029,52.365528
CO2,biopower,p25,2032,52.365528
CO2,biopower,p25,2035,52.365528
CO2,biopower,p25,2038,52.365528
CO2,biopower,p25,2041,52.365528
CO2,biopower,p25,2044,52.365528
CO2,biopower,p25,2047,52.365528
CO2,biopower,p25,2050,52.365528
CO2,biopower,p28,2010,482.403354
CO2,biopower,p28,2015,482.403354
CO2,biopower,p28,2020,482.403354
CO2,biopower,p28,2023,482.403354
CO2,biopower,p28,2026,482.403354
CO2,biopower,p28,2029,482.403354
CO2,biopower,p28,2032,482.403354
CO2,biopower,p28,2035,482.403354
CO2,biopower,p28,2038,482.403354
CO2,biopower,p28,2041,482.403354
CO2,biopower,p28,2044,482.403354
CO2,biopower,p28,2047,482.403354
CO2,biopower,p28,2050,482.403354
CO2,biopower,p29,2010,64.137654
CO2,biopower,p29,2015,64.137654
CO2,biopower,p29,2020,64.137654
CO2,biopower,p29,2023,64.137654
CO2,biopower,p29,2026,64.137654
CO2,biopower,p29,2029,64.137654
CO2,biopower,p29,2032,64.137654
CO2,biopower,p29,2035,64.137654
CO2,biopower,p29,2038,64.137654
CO2,biopower,p29,2041,64.137654
CO2,biopower,p29,2044,64.137654
CO2,biopower,p29,2047,64.137654
CO2,biopower,p31,2010,47.217171
CO2,biopower,p31,2015,47.217171
CO2,biopower,p31,2020,47.217171
CO2,biopower,p31,2023,47.217171
CO2,biopower,p31,2026,47.217171
CO2,biopower,p31,2029,47.217171
CO2,biopower,p33,2010,214.539303
CO2,biopower,p33,2015,390.995942
CO2,biopower,p33,2020,390.995942
CO2,biopower,p33,2023,390.995942
CO2,biopower,p33,2026,390.995942
CO2,biopower,p33,2029,390.995942
CO2,biopower,p33,2032,842.437852
CO2,biopower,p33,2035,591.226076
CO2,biopower,p33,2038,321.570007
CO2,biopower,p33,2041,323.778046
CO2,biopower,p33,2044,312.103795
CO2,biopower,p33,2047,219.935218
CO2,biopower,p33,2050,219.935218
CO2,biopower,p43,2010,1945.013435
CO2,biopower,p43,2015,2039.921514
CO2,biopower,p43,2020,1063.37702
CO2,biopower,p43,2023,1074.794666
CO2,biopower,p43,2026,1063.37702
CO2,biopower,p43,2029,1063.020218
CO2,biopower,p43,2032,1065.427946
