eall,i,r,t,Value
CO2,biopower,p1,2010,841.765219
CO2,biopower,p3,2010,3427.716463
CO2,biopower,p3,2015,942.97896
CO2,biopower,p3,2020,942.97896
CO2,biopower,p3,2023,942.97896
CO2,biopower,p3,2026,942.97896
CO2,biopower,p5,2010,192.412962
CO2,biopower,p5,2015,148.368996
CO2,biopower,p5,2020,148.368996
CO2,biopower,p5,2023,148.368996
CO2,biopower,p5,2026,148.368996
CO2,biopower,p5,2029,148.368996
CO2,biopower,p5,2032,17.455176
CO2,biopower,p5,2035,93.602872
CO2,biopower,p5,2038,17.455176
CO2,biopower,p5,2041,17.455176
CO2,biopower,p5,2044,17.455176
CO2,biopower,p5,2047,17.455176
CO2,biopower,p5,2050,17.455176
CO2,biopower,p6,2010,1053.249637
CO2,biopower,p6,2015,1052.906098
CO2,biopower,p6,2020,1052.906098
CO2,biopower,p6,2023,1053.422813
CO2,biopower,p6,2026,1053.007866
CO2,biopower,p6,2029,1053.28281
CO2,biopower,p6,2032,333.019109
CO2,biopower,p6,2035,333.019109
CO2,biopower,p6,2038,333.019109
CO2,biopower,p6,2041,333.019109
CO2,biopower,p6,2044,333.019109
CO2,biopower,p6,2047,333.019109
CO2,biopower,p6,2050,333.019109
CO2,biopower,p8,2010,5621.866025
CO2,biopower,p8,2015,7861.940948
CO2,biopower,p8,2020,7861.940948
CO2,biopower,p8,2023,3507.919148
CO2,biopower,p8,2026,3423.955687
CO2,biopower,p8,2029,1424.657519
CO2,biopower,p8,2032,2020.984385
CO2,biopower,p9,2010,17641.255788
CO2,biopower,p9,2015,111683.105719
CO2,biopower,p9,2020,75341.978824
CO2,biopower,p9,2023,19590.500971
CO2,biopower,p9,2026,30053.238507
CO2,biopower,p9,2029,20997.274479
CO2,biopower,p9,2032,22171.190149
CO2,biopower,p9,2035,8865.88597
CO2,biopower,p9,2038,6972.743023
CO2,biopower,p9,2041,4571.696357
CO2,biopower,p9,2044,2962.01902
CO2,biopower,p9,2047,2278.970668
CO2,biopower,p9,2050,1097.93057
CO2,biopower,p10,2010,14881.258427
CO2,biopower,p10,2015,40564.410687
CO2,biopower,p10,2020,45640.103729
CO2,biopower,p10,2023,18418.399077
CO2,biopower,p10,2026,24699.323948
CO2,biopower,p10,2029,20038.17755
CO2,biopower,p10,2032,22614.665777
CO2,biopower,p10,2035,19737.987007
CO2,biopower,p10,2038,6186.385122
CO2,biopower,p10,2041,3603.904622
CO2,biopower,p10,2044,2566.254577
CO2,biopower,p10,2047,860.540177
CO2,biopower,p10,2050,860.540177
CO2,biopower,p14,2010,157.05769
CO2,biopower,p14,2015,157.05769
CO2,biopower,p14,2020,157.05769
CO2,biopower,p14,2023,157.05769
CO2,biopower,p14,2026,157.05769
CO2,biopower,p15,2010,164.078654
CO2,biopower,p15,2015,448.598023
