RPSCat,st,t,Value
RPS_All,LA,2026,842229.751389
RPS_All,PA,2026,1694808.485686
RPS_All,MD,2026,767181.446314
RPS_All,DE,2026,602304.389497
RPS_All,DE,2029,671612.216963
RPS_All,NJ,2026,1127435.361735
RPS_All,NJ,2029,1149253.816953
RPS_All,NY,2026,7070665.581696
RPS_All,NY,2029,9322451.285508
RPS_All,NY,2032,3768050.297195
RPS_All,VT,2026,1014576.898471
RPS_All,VT,2029,1064386.079729
RPS_All,NH,2026,338110.396745
RPS_All,NH,2029,328756.339788
RPS_All,MA,2026,1278387.101084
RPS_All,MA,2029,970340.37774
RPS_All,CT,2026,477253.740443
RPS_All,CT,2029,483962.725239
RPS_All,RI,2026,166196.883094
RPS_All,RI,2029,381660.533367
RPS_All,ME,2026,768066.944992
CES,VT,2044,1758748.878195
CES,VT,2047,1798624.929014
CES,VT,2050,1815527.8358
