sys_costs,i,r,t,Value
inv_h2_production,electrolyzer,p19,2032,100055277.022785
inv_h2_production,electrolyzer,p19,2035,2745.481659
inv_h2_production,electrolyzer,p31,2029,56379367.671897
inv_h2_production,electrolyzer,p31,2032,1404330.149295
inv_h2_production,electrolyzer,p31,2035,223132.265926
inv_h2_production,electrolyzer,p99,2047,272876502.315983
inv_h2_production,electrolyzer,p127,2041,4697900663.151671
inv_investment_capacity_costs,battery_4,p6,2026,3412569.2986
inv_investment_capacity_costs,battery_4,p6,2041,2668138.7675
inv_investment_capacity_costs,battery_4,p7,2026,291899.5464
inv_investment_capacity_costs,battery_4,p8,2029,201542458.8
inv_investment_capacity_costs,battery_4,p8,2038,154705506.105729
inv_investment_capacity_costs,battery_4,p8,2044,160515449.608112
inv_investment_capacity_costs,battery_4,p9,2015,18130771.2
inv_investment_capacity_costs,battery_4,p9,2020,2015193.056
inv_investment_capacity_costs,battery_4,p9,2023,4246538041.15187
inv_investment_capacity_costs,battery_4,p9,2026,306368537.86
inv_investment_capacity_costs,battery_4,p9,2041,1444736329.304272
inv_investment_capacity_costs,battery_4,p9,2044,990165618.231598
inv_investment_capacity_costs,battery_4,p10,2015,8986063.476
inv_investment_capacity_costs,battery_4,p10,2020,284049910.4256
inv_investment_capacity_costs,battery_4,p10,2023,9661312454.478575
inv_investment_capacity_costs,battery_4,p10,2026,3122707331.205
inv_investment_capacity_costs,battery_4,p10,2041,1165930089.098846
inv_investment_capacity_costs,battery_4,p11,2015,12094735.288
inv_investment_capacity_costs,battery_4,p11,2020,668454543.432
inv_investment_capacity_costs,battery_4,p11,2023,416025983.52
inv_investment_capacity_costs,battery_4,p11,2026,466068795.4692
inv_investment_capacity_costs,battery_4,p11,2041,1055461000.8272
inv_investment_capacity_costs,battery_4,p11,2044,79148670.481756
inv_investment_capacity_costs,battery_4,p12,2044,655277617.360783
inv_investment_capacity_costs,battery_4,p13,2023,94983507.6752
inv_investment_capacity_costs,battery_4,p13,2026,810351130.3888
inv_investment_capacity_costs,battery_4,p13,2029,1603100890.848
inv_investment_capacity_costs,battery_4,p13,2044,1859502674.017087
inv_investment_capacity_costs,battery_4,p15,2023,245527826.178
inv_investment_capacity_costs,battery_4,p16,2023,3799455.152
inv_investment_capacity_costs,battery_4,p18,2026,144593002.4
inv_investment_capacity_costs,battery_4,p21,2038,18052354.21269
inv_investment_capacity_costs,battery_4,p21,2044,228414977.017072
inv_investment_capacity_costs,battery_4,p21,2047,220344310.618511
inv_investment_capacity_costs,battery_4,p21,2050,63598537.106865
inv_investment_capacity_costs,battery_4,p22,2047,52944126.55096
inv_investment_capacity_costs,battery_4,p23,2041,12065866.034853
inv_investment_capacity_costs,battery_4,p24,2041,56279029.977803
inv_investment_capacity_costs,battery_4,p24,2050,80907878.992312
inv_investment_capacity_costs,battery_4,p25,2047,306890271.222793
inv_investment_capacity_costs,battery_4,p25,2050,124107678.821813
inv_investment_capacity_costs,battery_4,p26,2038,9487461.993302
inv_investment_capacity_costs,battery_4,p26,2044,275533280.113967
inv_investment_capacity_costs,battery_4,p26,2047,114719163.164134
inv_investment_capacity_costs,battery_4,p26,2050,378486156.757726
inv_investment_capacity_costs,battery_4,p27,2044,261034878.531307
inv_investment_capacity_costs,battery_4,p28,2023,1779769540.375886
inv_investment_capacity_costs,battery_4,p28,2026,358817420.5
inv_investment_capacity_costs,battery_4,p28,2044,1494881384.703628
inv_investment_capacity_costs,battery_4,p30,2029,899128363.661349
inv_investment_capacity_costs,battery_4,p30,2038,1821610528.730252
inv_investment_capacity_costs,battery_4,p30,2044,857408669.601443
inv_investment_capacity_costs,battery_4,p31,2023,139163419.056
inv_investment_capacity_costs,battery_4,p31,2026,213109927.8
inv_investment_capacity_costs,battery_4,p32,2050,31448625.708475
inv_investment_capacity_costs,battery_4,p33,2023,9349100.13
inv_investment_capacity_costs,battery_4,p34,2023,421247841.75
inv_investment_capacity_costs,battery_4,p34,2041,164439198.773811
inv_investment_capacity_costs,battery_4,p34,2047,426802614.879589
inv_investment_capacity_costs,battery_4,p34,2050,58754136.910671
inv_investment_capacity_costs,battery_4,p37,2029,173737185.12
inv_investment_capacity_costs,battery_4,p39,2032,39218180.017214
inv_investment_capacity_costs,battery_4,p39,2035,238851329.644562
inv_investment_capacity_costs,battery_4,p39,2050,114035636.587374
inv_investment_capacity_costs,battery_4,p40,2023,1887764.556
inv_investment_capacity_costs,battery_4,p43,2023,1491621.824716
inv_investment_capacity_costs,battery_4,p43,2032,155725406.304269
inv_investment_capacity_costs,battery_4,p43,2035,1002312883.416323
inv_investment_capacity_costs,battery_4,p44,2032,424853465.963104
inv_investment_capacity_costs,battery_4,p44,2038,1131375193.228004
inv_investment_capacity_costs,battery_4,p45,2038,1933210831.134239
inv_investment_capacity_costs,battery_4,p46,2032,80055271.93988
inv_investment_capacity_costs,battery_4,p47,2032,270469830.586522
inv_investment_capacity_costs,battery_4,p47,2035,417083076.477986
inv_investment_capacity_costs,battery_4,p47,2038,1831095.422362
inv_investment_capacity_costs,battery_4,p47,2044,251095426.120221
inv_investment_capacity_costs,battery_4,p47,2047,340630142.517805
inv_investment_capacity_costs,battery_4,p47,2050,173138395.773723
inv_investment_capacity_costs,battery_4,p48,2026,282983624.0
inv_investment_capacity_costs,battery_4,p48,2032,867965259.524046
inv_investment_capacity_costs,battery_4,p48,2035,668356412.058865
inv_investment_capacity_costs,battery_4,p48,2038,65581554.210248
inv_investment_capacity_costs,battery_4,p48,2044,189267926.718064
inv_investment_capacity_costs,battery_4,p48,2047,776689773.023395
inv_investment_capacity_costs,battery_4,p48,2050,235612196.8017
inv_investment_capacity_costs,battery_4,p49,2035,26652136.81331
inv_investment_capacity_costs,battery_4,p49,2044,173733789.8784
inv_investment_capacity_costs,battery_4,p49,2047,3296605.037164
inv_investment_capacity_costs,battery_4,p49,2050,140874667.893002
inv_investment_capacity_costs,battery_4,p52,2032,12784584.062464
inv_investment_capacity_costs,battery_4,p52,2035,993147346.7066
inv_investment_capacity_costs,battery_4,p52,2047,22350134.044219
inv_investment_capacity_costs,battery_4,p52,2050,726269646.017276
inv_investment_capacity_costs,battery_4,p53,2035,161543024.229553
inv_investment_capacity_costs,battery_4,p53,2047,336255218.110462
inv_investment_capacity_costs,battery_4,p53,2050,60377538.080152
inv_investment_capacity_costs,battery_4,p54,2035,171729051.326735
inv_investment_capacity_costs,battery_4,p54,2044,220827169.706958
inv_investment_capacity_costs,battery_4,p54,2047,50660152.822514
inv_investment_capacity_costs,battery_4,p56,2035,79353897.420186
inv_investment_capacity_costs,battery_4,p57,2035,90150046.50354
inv_investment_capacity_costs,battery_4,p58,2029,169028860.32
inv_investment_capacity_costs,battery_4,p58,2038,540596962.83681
inv_investment_capacity_costs,battery_4,p58,2044,1521246305.457152
inv_investment_capacity_costs,battery_4,p58,2047,101238895.597327
inv_investment_capacity_costs,battery_4,p59,2035,102075567.372924
inv_investment_capacity_costs,battery_4,p59,2038,432538306.794308
inv_investment_capacity_costs,battery_4,p59,2044,273136524.38789
inv_investment_capacity_costs,battery_4,p60,2023,93491001.3
inv_investment_capacity_costs,battery_4,p60,2026,282402150.8
inv_investment_capacity_costs,battery_4,p60,2044,2215919427.875273
inv_investment_capacity_costs,battery_4,p60,2047,215157075.083164
inv_investment_capacity_costs,battery_4,p60,2050,103909370.780751
inv_investment_capacity_costs,battery_4,p61,2023,572725873.9638
inv_investment_capacity_costs,battery_4,p61,2026,727750342.6116
inv_investment_capacity_costs,battery_4,p62,2023,1137057536.054
inv_investment_capacity_costs,battery_4,p63,2023,1469884090.1582
inv_investment_capacity_costs,battery_4,p63,2026,269150764.2208
inv_investment_capacity_costs,battery_4,p63,2038,2620418593.696248
inv_investment_capacity_costs,battery_4,p63,2041,2327274658.690332
inv_investment_capacity_costs,battery_4,p63,2044,3037424952.599442
inv_investment_capacity_costs,battery_4,p63,2047,577569790.732448
inv_investment_capacity_costs,battery_4,p64,2023,775090884.7214
inv_investment_capacity_costs,battery_4,p64,2026,251021980.44
inv_investment_capacity_costs,battery_4,p64,2047,391824789.360784
inv_investment_capacity_costs,battery_4,p65,2023,764451333.624
inv_investment_capacity_costs,battery_4,p65,2026,223146155.232
inv_investment_capacity_costs,battery_4,p65,2041,762605192.826572
inv_investment_capacity_costs,battery_4,p65,2044,971238070.433375
inv_investment_capacity_costs,battery_4,p65,2047,577044670.033075
inv_investment_capacity_costs,battery_4,p66,2044,247127032.492498
inv_investment_capacity_costs,battery_4,p66,2047,995087573.180759
inv_investment_capacity_costs,battery_4,p66,2050,517522369.66474
inv_investment_capacity_costs,battery_4,p67,2023,457585515.0
inv_investment_capacity_costs,battery_4,p67,2026,207295195.8
inv_investment_capacity_costs,battery_4,p67,2029,7078039890.290063
inv_investment_capacity_costs,battery_4,p67,2044,587459773.497953
inv_investment_capacity_costs,battery_4,p67,2047,96127939.225097
inv_investment_capacity_costs,battery_4,p68,2029,148177124.76567
inv_investment_capacity_costs,battery_4,p68,2032,66700706.560627
inv_investment_capacity_costs,battery_4,p69,2032,1148465889.45
inv_investment_capacity_costs,battery_4,p69,2035,151233316.367699
inv_investment_capacity_costs,battery_4,p69,2038,28104630.841228
inv_investment_capacity_costs,battery_4,p70,2023,9516582.41
inv_investment_capacity_costs,battery_4,p71,2038,434462228.209956
inv_investment_capacity_costs,battery_4,p72,2029,373608052.254595
