r,t,Value
p1,2010,4.261157
p1,2015,2.44384
p1,2020,1.829609
p1,2023,3.42224
p1,2026,2.373518
p1,2029,2.256796
p1,2032,2.410896
p1,2035,2.621436
p1,2038,2.746319
p1,2041,2.790637
p1,2044,2.727429
p1,2047,2.722763
p1,2050,2.716531
p2,2010,4.265277
p2,2015,2.442154
p2,2020,1.824412
p2,2023,3.423855
p2,2026,2.374665
p2,2029,2.257007
p2,2032,2.413026
p2,2035,2.624315
p2,2038,2.748941
p2,2041,2.794148
p2,2044,2.731455
p2,2047,2.728006
p2,2050,2.722196
p3,2010,4.296087
p3,2015,2.42955
p3,2020,1.785549
p3,2023,3.435934
p3,2026,2.383243
p3,2029,2.258582
p3,2032,2.428956
p3,2035,2.645847
p3,2038,2.768547
p3,2041,2.820407
p3,2044,2.761565
p3,2047,2.767219
p3,2050,2.76456
p4,2010,4.269039
p4,2015,2.440616
p4,2020,1.819667
p4,2023,3.42533
p4,2026,2.375712
p4,2029,2.257199
p4,2032,2.414971
p4,2035,2.626944
p4,2038,2.751335
p4,2041,2.797354
p4,2044,2.735132
p4,2047,2.732794
p4,2050,2.727368
p5,2010,4.271188
p5,2015,2.439736
p5,2020,1.816956
p5,2023,3.426172
p5,2026,2.376311
p5,2029,2.257309
p5,2032,2.416082
p5,2035,2.628446
p5,2038,2.752703
p5,2041,2.799186
p5,2044,2.737232
p5,2047,2.73553
p5,2050,2.730324
p6,2010,4.278174
p6,2015,2.436878
p6,2020,1.808144
p6,2023,3.428911
p6,2026,2.378256
p6,2029,2.257666
p6,2032,2.419694
p6,2035,2.633329
p6,2038,2.757148
p6,2041,2.80514
p6,2044,2.74406
p6,2047,2.744421
p6,2050,2.739929
p7,2010,4.291609
p7,2015,2.431382
p7,2020,1.791198
p7,2023,3.434178
p7,2026,2.381996
p7,2029,2.258353
p7,2032,2.426641
p7,2035,2.642718
p7,2038,2.765698
p7,2041,2.81659
p7,2044,2.757189
p7,2047,2.76152
p7,2050,2.758402
p8,2010,4.296087
p8,2015,2.42955
p8,2020,1.785549
p8,2023,3.435934
p8,2026,2.383243
p8,2029,2.258582
p8,2032,2.428956
p8,2035,2.645847
p8,2038,2.768547
p8,2041,2.820407
p8,2044,2.761565
p8,2047,2.767219
p8,2050,2.76456
p9,2010,4.278533
p9,2015,2.436732
p9,2020,1.807692
p9,2023,3.429052
p9,2026,2.378355
p9,2029,2.257684
p9,2032,2.419879
p9,2035,2.633579
p9,2038,2.757376
p9,2041,2.805446
p9,2044,2.74441
p9,2047,2.744877
p9,2050,2.740422
p10,2010,4.282653
p10,2015,2.435046
p10,2020,1.802495
p10,2023,3.430667
p10,2026,2.379502
p10,2029,2.257895
p10,2032,2.42201
p10,2035,2.636458
p10,2038,2.759998
p10,2041,2.808957
p10,2044,2.748436
p10,2047,2.750121
p10,2050,2.746087
p11,2010,4.298416
p11,2015,2.428598
p11,2020,1.782612
p11,2023,3.436847
p11,2026,2.383891
p11,2029,2.258701
p11,2032,2.43016
p11,2035,2.647475
p11,2038,2.770029
p11,2041,2.822392
p11,2044,2.763841
p11,2047,2.770183
p11,2050,2.767761
p12,2010,4.375262
p12,2015,2.301801
p12,2020,1.753761
p12,2023,3.309054
p12,2026,2.344676
p12,2029,2.298891
p12,2032,2.459883
p12,2035,2.77134
p12,2038,2.886122
p12,2041,2.953706
p12,2044,2.872951
p12,2047,2.885197
p12,2050,2.875715
p13,2010,4.325285
p13,2015,2.322246
p13,2020,1.8168
p13,2023,3.289461
p13,2026,2.330762
p13,2029,2.296335
p13,2032,2.434043
p13,2035,2.736413
p13,2038,2.854318
p13,2041,2.911112
p13,2044,2.82411
p13,2047,2.82159
p13,2050,2.806997
p14,2010,4.351796
p14,2015,2.3114
p14,2020,1.78336
p14,2023,3.299854
p14,2026,2.338143
p14,2029,2.297691
p14,2032,2.44775
p14,2035,2.75494
p14,2038,2.871189
p14,2041,2.933706
p14,2044,2.850018
p14,2047,2.855332
p14,2050,2.843449
p15,2010,4.353229
p15,2015,2.310814
p15,2020,1.781552
p15,2023,3.300416
p15,2026,2.338542
p15,2029,2.297764
p15,2032,2.448491
p15,2035,2.755942
p15,2038,2.872101
p15,2041,2.934928
p15,2044,2.851419
p15,2047,2.857156
p15,2050,2.84542
p16,2010,4.39622
p16,2015,2.293227
p16,2020,1.727325
p16,2023,3.317271
p16,2026,2.350511
p16,2029,2.299963
p16,2032,2.470719
p16,2035,2.785987
p16,2038,2.899458
p16,2041,2.971568
p16,2044,2.893433
p16,2047,2.911871
p16,2050,2.904532
p17,2010,4.398907
p17,2015,2.292128
p17,2020,1.723936
p17,2023,3.318324
p17,2026,2.351259
p17,2029,2.3001
p17,2032,2.472109
p17,2035,2.787864
p17,2038,2.901168
p17,2041,2.973858
p17,2044,2.896058
p17,2047,2.915291
p17,2050,2.908227
p18,2010,4.426314
p18,2015,2.280916
p18,2020,1.689366
p18,2023,3.329069
p18,2026,2.358889
p18,2029,2.301501
p18,2032,2.486279
p18,2035,2.807018
p18,2038,2.918609
p18,2041,2.997216
p18,2044,2.922842
p18,2047,2.950172
p18,2050,2.945911
p19,2010,4.426314
p19,2015,2.280916
p19,2020,1.689366
p19,2023,3.329069
p19,2026,2.358889
p19,2029,2.301501
p19,2032,2.486279
p19,2035,2.807018
p19,2038,2.918609
p19,2041,2.997216
p19,2044,2.922842
p19,2047,2.950172
p19,2050,2.945911
p20,2010,4.426314
p20,2015,2.280916
p20,2020,1.689366
p20,2023,3.329069
p20,2026,2.358889
p20,2029,2.301501
p20,2032,2.486279
p20,2035,2.807018
p20,2038,2.918609
p20,2041,2.997216
p20,2044,2.922842
p20,2047,2.950172
p20,2050,2.945911
p21,2010,4.426314
p21,2015,2.280916
p21,2020,1.689366
p21,2023,3.329069
p21,2026,2.358889
p21,2029,2.301501
p21,2032,2.486279
p21,2035,2.807018
p21,2038,2.918609
p21,2041,2.997216
p21,2044,2.922842
p21,2047,2.950172
p21,2050,2.945911
p22,2010,4.426314
p22,2015,2.280916
p22,2020,1.689366
p22,2023,3.329069
p22,2026,2.358889
p22,2029,2.301501
p22,2032,2.486279
p22,2035,2.807018
p22,2038,2.918609
p22,2041,2.997216
p22,2044,2.922842
p22,2047,2.950172
p22,2050,2.945911
p23,2010,4.426314
p23,2015,2.280916
p23,2020,1.689366
p23,2023,3.329069
p23,2026,2.358889
p23,2029,2.301501
p23,2032,2.486279
p23,2035,2.807018
p23,2038,2.918609
p23,2041,2.997216
p23,2044,2.922842
p23,2047,2.950172
p23,2050,2.945911
p24,2010,4.426314
p24,2015,2.280916
p24,2020,1.689366
p24,2023,3.329069
p24,2026,2.358889
p24,2029,2.301501
p24,2032,2.486279
p24,2035,2.807018
p24,2038,2.918609
p24,2041,2.997216
p24,2044,2.922842
p24,2047,2.950172
p24,2050,2.945911
p25,2010,4.426314
p25,2015,2.280916
p25,2020,1.689366
p25,2023,3.329069
p25,2026,2.358889
p25,2029,2.301501
p25,2032,2.486279
p25,2035,2.807018
p25,2038,2.918609
p25,2041,2.997216
p25,2044,2.922842
p25,2047,2.950172
p25,2050,2.945911
p26,2010,4.426314
p26,2015,2.280916
p26,2020,1.689366
p26,2023,3.329069
p26,2026,2.358889
p26,2029,2.301501
p26,2032,2.486279
p26,2035,2.807018
p26,2038,2.918609
p26,2041,2.997216
p26,2044,2.922842
p26,2047,2.950172
p26,2050,2.945911
p27,2010,4.344452
p27,2015,2.314405
p27,2020,1.792624
p27,2023,3.296975
p27,2026,2.336098
p27,2029,2.297315
p27,2032,2.443953
p27,2035,2.749808
p27,2038,2.866515
p27,2041,2.927447
p27,2044,2.842841
p27,2047,2.845984
p27,2050,2.833351
p28,2010,4.387264
p28,2015,2.296891
p28,2020,1.738622
p28,2023,3.313759
p28,2026,2.348017
p28,2029,2.299505
p28,2032,2.466088
p28,2035,2.779727
p28,2038,2.893759
p28,2041,2.963934
p28,2044,2.88468
p28,2047,2.900472
p28,2050,2.892217
p29,2010,4.426314
p29,2015,2.280916
p29,2020,1.689366
p29,2023,3.329069
p29,2026,2.358889
p29,2029,2.301501
p29,2032,2.486279
p29,2035,2.807018
p29,2038,2.918609
p29,2041,2.997216
p29,2044,2.922842
p29,2047,2.950172
p29,2050,2.945911
p30,2010,4.370426
p30,2015,2.303779
p30,2020,1.759861
p30,2023,3.307158
p30,2026,2.343329
p30,2029,2.298643
p30,2032,2.457382
p30,2035,2.76796
p30,2038,2.883044
p30,2041,2.949584
p30,2044,2.868224
p30,2047,2.879042
p30,2050,2.869065
p31,2010,4.426314
p31,2015,2.280916
p31,2020,1.689366
p31,2023,3.329069
p31,2026,2.358889
p31,2029,2.301501
p31,2032,2.486279
p31,2035,2.807018
p31,2038,2.918609
p31,2041,2.997216
p31,2044,2.922842
p31,2047,2.950172
p31,2050,2.945911
p32,2010,4.426314
p32,2015,2.280916
p32,2020,1.689366
p32,2023,3.329069
p32,2026,2.358889
p32,2029,2.301501
p32,2032,2.486279
p32,2035,2.807018
p32,2038,2.918609
p32,2041,2.997216
p32,2044,2.922842
p32,2047,2.950172
p32,2050,2.945911
p33,2010,4.426314
p33,2015,2.280916
p33,2020,1.689366
p33,2023,3.329069
p33,2026,2.358889
p33,2029,2.301501
p33,2032,2.486279
p33,2035,2.807018
p33,2038,2.918609
p33,2041,2.997216
p33,2044,2.922842
p33,2047,2.950172
p33,2050,2.945911
p34,2010,4.426314
p34,2015,2.280916
p34,2020,1.689366
p34,2023,3.329069
p34,2026,2.358889
p34,2029,2.301501
p34,2032,2.486279
p34,2035,2.807018
p34,2038,2.918609
p34,2041,2.997216
p34,2044,2.922842
p34,2047,2.950172
p34,2050,2.945911
p35,2010,4.744878
p35,2015,2.556401
p35,2020,1.609485
p35,2023,3.22208
p35,2026,2.266399
p35,2029,2.114553
p35,2032,2.221293
p35,2035,2.355392
p35,2038,2.378832
p35,2041,2.506475
p35,2044,2.46487
p35,2047,2.472656
p35,2050,2.483541
p36,2010,4.744878
p36,2015,2.556401
p36,2020,1.609485
p36,2023,3.22208
p36,2026,2.266399
p36,2029,2.114553
p36,2032,2.221293
p36,2035,2.355392
p36,2038,2.378832
p36,2041,2.506475
p36,2044,2.46487
p36,2047,2.472656
p36,2050,2.483541
p37,2010,4.744878
p37,2015,2.556401
p37,2020,1.609485
p37,2023,3.22208
p37,2026,2.266399
p37,2029,2.114553
p37,2032,2.221293
p37,2035,2.355392
p37,2038,2.378832
p37,2041,2.506475
p37,2044,2.46487
p37,2047,2.472656
p37,2050,2.483541
p38,2010,4.744878
p38,2015,2.556401
p38,2020,1.609485
p38,2023,3.22208
p38,2026,2.266399
p38,2029,2.114553
p38,2032,2.221293
p38,2035,2.355392
p38,2038,2.378832
p38,2041,2.506475
p38,2044,2.46487
p38,2047,2.472656
p38,2050,2.483541
p39,2010,4.744878
p39,2015,2.556401
p39,2020,1.609485
p39,2023,3.22208
p39,2026,2.266399
p39,2029,2.114553
p39,2032,2.221293
p39,2035,2.355392
p39,2038,2.378832
p39,2041,2.506475
p39,2044,2.46487
p39,2047,2.472656
p39,2050,2.483541
p40,2010,4.744878
p40,2015,2.556401
p40,2020,1.609485
p40,2023,3.22208
p40,2026,2.266399
p40,2029,2.114553
p40,2032,2.221293
p40,2035,2.355392
p40,2038,2.378832
p40,2041,2.506475
p40,2044,2.46487
p40,2047,2.472656
p40,2050,2.483541
p41,2010,4.744878
p41,2015,2.556401
p41,2020,1.609485
p41,2023,3.22208
p41,2026,2.266399
p41,2029,2.114553
p41,2032,2.221293
p41,2035,2.355392
p41,2038,2.378832
p41,2041,2.506475
p41,2044,2.46487
p41,2047,2.472656
p41,2050,2.483541
p42,2010,4.637466
p42,2015,2.42352
p42,2020,1.529203
p42,2023,3.17391
p42,2026,2.23567
p42,2029,2.078564
p42,2032,2.16288
p42,2035,2.264314
p42,2038,2.293567
p42,2041,2.402661
p42,2044,2.362995
p42,2047,2.374656
p42,2050,2.377237
p43,2010,4.647339
p43,2015,2.435734
p43,2020,1.536582
p43,2023,3.178338
p43,2026,2.238495
p43,2029,2.081872
p43,2032,2.168249
p43,2035,2.272685
p43,2038,2.301404
p43,2041,2.412203
p43,2044,2.372358
p43,2047,2.383663
p43,2050,2.387007
p44,2010,4.653657
p44,2015,2.44355
p44,2020,1.541304
p44,2023,3.181171
p44,2026,2.240302
p44,2029,2.083989
p44,2032,2.171685
p44,2035,2.278042
p44,2038,2.30642
p44,2041,2.41831
p44,2044,2.378351
p44,2047,2.389428
p44,2050,2.39326
p45,2010,4.684064
p45,2015,2.481167
p45,2020,1.564031
p45,2023,3.194807
p45,2026,2.249001
p45,2029,2.094177
p45,2032,2.188221
p45,2035,2.303826
p45,2038,2.330557
p45,2041,2.447698
p45,2044,2.407191
p45,2047,2.417171
p45,2050,2.423354
p46,2010,4.454628
p46,2015,2.240579
p46,2020,1.417616
p46,2023,3.081246
p46,2026,2.188064
p46,2029,2.046344
p46,2032,2.074751
p46,2035,2.097899
p46,2038,2.173368
p46,2041,2.2291
p46,2044,2.213732
p46,2047,2.2497
p46,2050,2.246304
p47,2010,4.057878
p47,2015,2.057881
p47,2020,1.264492
p47,2023,3.040269
p47,2026,2.008278
p47,2029,1.973761
p47,2032,2.216979
p47,2035,2.391951
p47,2038,2.45107
p47,2041,2.537737
p47,2044,2.486791
p47,2047,2.514555
p47,2050,2.478149
p48,2010,4.195278
p48,2015,2.151313
p48,2020,1.321894
p48,2023,3.063067
p48,2026,2.047564
p48,2029,1.989232
p48,2032,2.20843
p48,2035,2.372614
p48,2038,2.428883
p48,2041,2.521452
p48,2044,2.473153
p48,2047,2.493385
p48,2050,2.461458
p49,2010,4.331304
p49,2015,2.243811
p49,2020,1.378723
p49,2023,3.085637
p49,2026,2.086458
p49,2029,2.004547
p49,2032,2.199966
p49,2035,2.353469
p49,2038,2.406917
p49,2041,2.505331
p49,2044,2.459651
p49,2047,2.472427
p49,2050,2.444933
p50,2010,4.279779
p50,2015,2.208774
p50,2020,1.357197
p50,2023,3.077088
p50,2026,2.071725
p50,2029,1.998746
p50,2032,2.203172
p50,2035,2.360721
p50,2038,2.415237
p50,2041,2.511437
p50,2044,2.464766
p50,2047,2.480365
p50,2050,2.451192
p51,2010,4.380081
p51,2015,2.276979
p51,2020,1.399101
p51,2023,3.093731
p51,2026,2.100404
p51,2029,2.010039
p51,2032,2.196931
p51,2035,2.346604
p51,2038,2.39904
p51,2041,2.49955
p51,2044,2.45481
p51,2047,2.464911
p51,2050,2.439007
p52,2010,4.61847
p52,2015,2.470444
p52,2020,1.556675
p52,2023,3.201105
p52,2026,2.230256
p52,2029,2.10032
p52,2032,2.229158
p52,2035,2.373183
p52,2038,2.399245
p52,2041,2.521456
p52,2044,2.477417
p52,2047,2.492132
p52,2050,2.498898
p53,2010,4.559388
p53,2015,2.430268
p53,2020,1.531991
p53,2023,3.191302
p53,2026,2.213363
p53,2029,2.093668
p53,2032,2.232834
p53,2035,2.381498
p53,2038,2.408786
p53,2041,2.528459
p53,2044,2.483282
p53,2047,2.501235
p53,2050,2.506075
p54,2010,4.656731
p54,2015,2.476441
p54,2020,1.560813
p54,2023,3.197301
p54,2026,2.24119
p54,2029,2.096634
p54,2032,2.204999
p54,2035,2.33227
p54,2038,2.358737
p54,2041,2.477931
p54,2044,2.435969
p54,2047,2.447914
p54,2050,2.454319
p55,2010,4.502735
p55,2015,2.357567
p55,2020,1.488086
p55,2023,3.167696
p55,2026,2.198134
p55,2029,2.075411
p55,2032,2.202424
p55,2035,2.333125
p55,2038,2.363735
p55,2041,2.473147
p55,2044,2.428993
p55,2047,2.449134
p55,2050,2.449226
p56,2010,4.238472
p56,2015,2.158571
p56,2020,1.366504
p56,2023,3.112502
p56,2026,2.099788
p56,2029,2.016748
p56,2032,2.220113
p56,2035,2.374948
p56,2038,2.432195
p56,2041,2.525357
p56,2044,2.471421
p56,2047,2.496497
p56,2050,2.466975
p57,2010,4.067407
p57,2015,2.054979
p57,2020,1.279195
p57,2023,3.060335
p57,2026,2.027777
p57,2029,1.984741
p57,2032,2.223289
p57,2035,2.395296
p57,2038,2.455046
p57,2041,2.541586
p57,2044,2.488116
p57,2047,2.518404
p57,2050,2.482629
p58,2010,4.098912
p58,2015,2.045381
p58,2020,1.327809
p58,2023,3.126684
p58,2026,2.092248
p58,2029,2.021045
p58,2032,2.244154
p58,2035,2.406354
p58,2038,2.46819
p58,2041,2.554313
p58,2044,2.492498
p58,2047,2.531131
p58,2050,2.497443
p59,2010,4.426314
p59,2015,2.280916
p59,2020,1.689366
p59,2023,3.329069
p59,2026,2.358889
p59,2029,2.301501
p59,2032,2.486279
p59,2035,2.807018
p59,2038,2.918609
p59,2041,2.997216
p59,2044,2.922842
p59,2047,2.950172
p59,2050,2.945911
p60,2010,4.057878
p60,2015,2.057881
p60,2020,1.264492
p60,2023,3.040269
p60,2026,2.008278
p60,2029,1.973761
p60,2032,2.216979
p60,2035,2.391951
p60,2038,2.45107
p60,2041,2.537737
p60,2044,2.486791
p60,2047,2.514555
p60,2050,2.478149
p61,2010,4.057878
p61,2015,2.057881
p61,2020,1.264492
p61,2023,3.040269
p61,2026,2.008278
p61,2029,1.973761
p61,2032,2.216979
p61,2035,2.391951
p61,2038,2.45107
p61,2041,2.537737
p61,2044,2.486791
p61,2047,2.514555
p61,2050,2.478149
p62,2010,4.057878
p62,2015,2.057881
p62,2020,1.264492
p62,2023,3.040269
p62,2026,2.008278
p62,2029,1.973761
p62,2032,2.216979
p62,2035,2.391951
