RPSCat,st,t,Value
RPS_All,PA,2026,1678977.853025
RPS_All,MD,2026,731612.199009
RPS_All,DE,2026,629592.659134
RPS_All,NJ,2026,1325765.280002
RPS_All,NY,2026,7537305.150468
RPS_All,NY,2029,10185510.798435
RPS_All,VT,2026,1056373.193003
RPS_All,VT,2029,1016216.034419
RPS_All,NH,2026,339065.394746
RPS_All,NH,2029,336394.958057
RPS_All,MA,2026,1344089.781388
RPS_All,MA,2029,1575952.355517
RPS_All,CT,2026,476990.509355
RPS_All,CT,2029,490287.556146
RPS_All,RI,2026,164722.398048
RPS_All,RI,2029,380797.34574
RPS_All,ME,2026,781900.044119
CES,VT,2041,2113209.862521
CES,VT,2044,2147648.915253
CES,VT,2047,2350375.47633
CES,VT,2050,2538494.358181
CES,CT,2050,775943.031488
RPS_Wind,MD,2029,413875.672594
RPS_Solar,MD,2026,239730.092332
