sys_costs,r,t,Value
inv_converter_costs,p20,2047,12937919.019875
inv_converter_costs,p24,2047,62474424.935238
inv_h2_production,p31,2029,58248237.095418
inv_h2_production,p127,2041,710245382.211555
inv_h2_production,p127,2044,28792250.477727
inv_h2_production,p127,2047,8248348.771409
inv_h2_production,p127,2050,3891218.170374
inv_h2_storage,p1,2044,-0.0
inv_h2_storage,p1,2047,0.0
inv_h2_storage,p2,2044,-0.0
inv_h2_storage,p2,2047,0.0
inv_h2_storage,p10,2038,0.0
inv_h2_storage,p10,2041,-0.0
inv_h2_storage,p27,2044,0.0
inv_h2_storage,p27,2047,-0.0
inv_h2_storage,p31,2029,12161980.568437
inv_h2_storage,p39,2029,0.0
inv_h2_storage,p39,2032,-0.0
inv_h2_storage,p60,2038,-0.0
inv_h2_storage,p60,2041,0.0
inv_h2_storage,p73,2041,-0.0
inv_h2_storage,p73,2044,0.0
inv_h2_storage,p73,2050,-0.0
inv_h2_storage,p86,2038,-0.0
inv_h2_storage,p86,2041,0.0
inv_h2_storage,p89,2044,0.0
inv_h2_storage,p89,2047,-0.0
inv_h2_storage,p127,2038,0.0
inv_h2_storage,p127,2041,146024110.767858
inv_h2_storage,p134,2038,-0.0
inv_h2_storage,p134,2041,0.0
inv_investment_capacity_costs,p1,2010,381394271.0115
inv_investment_capacity_costs,p1,2015,107220104.123593
inv_investment_capacity_costs,p1,2020,215022761.477033
inv_investment_capacity_costs,p1,2023,13169559.195
inv_investment_capacity_costs,p1,2029,973784546.670807
inv_investment_capacity_costs,p1,2032,3617337935.670378
inv_investment_capacity_costs,p1,2035,2073629406.012643
inv_investment_capacity_costs,p1,2038,3176047926.128654
inv_investment_capacity_costs,p1,2041,437534690.889864
inv_investment_capacity_costs,p1,2044,1486764017.889006
inv_investment_capacity_costs,p1,2047,701440359.854815
inv_investment_capacity_costs,p1,2050,1745320551.626126
inv_investment_capacity_costs,p2,2010,117393137.96
inv_investment_capacity_costs,p2,2015,1206584203.69311
inv_investment_capacity_costs,p2,2023,134133754.11
inv_investment_capacity_costs,p2,2026,264611552.705511
inv_investment_capacity_costs,p2,2029,2898066996.424424
inv_investment_capacity_costs,p2,2032,2409479761.2922
inv_investment_capacity_costs,p2,2035,1180007202.23397
inv_investment_capacity_costs,p2,2038,41170335.094237
inv_investment_capacity_costs,p2,2041,482089352.720063
inv_investment_capacity_costs,p2,2044,462118580.114667
inv_investment_capacity_costs,p2,2047,1066628772.032901
inv_investment_capacity_costs,p2,2050,177835840.752125
inv_investment_capacity_costs,p3,2015,150165713.8215
inv_investment_capacity_costs,p3,2020,177681543.112704
inv_investment_capacity_costs,p3,2029,253187532.436096
inv_investment_capacity_costs,p3,2032,718488798.043644
inv_investment_capacity_costs,p3,2035,212539846.416418
inv_investment_capacity_costs,p3,2038,901991744.668999
inv_investment_capacity_costs,p3,2041,178647366.315948
inv_investment_capacity_costs,p3,2044,813991578.224887
inv_investment_capacity_costs,p3,2047,478646903.988769
inv_investment_capacity_costs,p3,2050,1325553483.476352
inv_investment_capacity_costs,p4,2015,641501060.295261
inv_investment_capacity_costs,p4,2020,391444958.078072
inv_investment_capacity_costs,p4,2026,126551415.816
inv_investment_capacity_costs,p4,2029,1028866008.389922
inv_investment_capacity_costs,p4,2038,999991.319378
inv_investment_capacity_costs,p4,2041,409202.616027
inv_investment_capacity_costs,p4,2044,436947.188197
inv_investment_capacity_costs,p4,2047,330207.081775
inv_investment_capacity_costs,p4,2050,456417608.917155
inv_investment_capacity_costs,p5,2010,687232622.158629
inv_investment_capacity_costs,p5,2015,1809668158.06598
inv_investment_capacity_costs,p5,2020,1273950358.630691
inv_investment_capacity_costs,p5,2023,1120624919.806353
inv_investment_capacity_costs,p5,2026,6008491.592401
inv_investment_capacity_costs,p5,2029,2343636896.45834
inv_investment_capacity_costs,p5,2032,937392322.192961
